S(t),I(t),R(t),mortes,tempo(t)
0.0000,121.9123,328.0876,6.5618,120.0
0.0000,121.2196,328.7803,6.5756,120.5
0.0000,120.5309,329.4690,6.5894,121.0
0.0000,119.8460,330.1539,6.6031,121.5
0.0000,119.1651,330.8348,6.6167,122.0
0.0000,118.4880,331.5119,6.6302,122.5
0.0000,117.8148,332.1851,6.6437,123.0
0.0000,117.1454,332.8545,6.6571,123.5
0.0000,116.4798,333.5201,6.6704,124.0
0.0000,115.8180,334.1819,6.6836,124.5
0.0000,115.1599,334.8399,6.6968,125.0
0.0000,114.5056,335.4943,6.7099,125.5
0.0000,113.8550,336.1449,6.7229,126.0
0.0000,113.2081,336.7918,6.7358,126.5
0.0000,112.5649,337.4350,6.7487,127.0
0.0000,111.9253,338.0746,6.7615,127.5
0.0000,111.2894,338.7105,6.7742,128.0
0.0000,110.6570,339.3428,6.7869,128.5
0.0000,110.0283,339.9716,6.7994,129.0
0.0000,109.4031,340.5967,6.8119,129.5
0.0000,108.7815,341.2183,6.8244,130.0
0.0000,108.1635,341.8364,6.8367,130.5
0.0000,107.5489,342.4510,6.8490,131.0
0.0000,106.9378,343.0620,6.8612,131.5
0.0000,106.3302,343.6696,6.8734,132.0
0.0000,105.7261,344.2738,6.8855,132.5
0.0000,105.1253,344.8745,6.8975,133.0
0.0000,104.5280,345.4718,6.9094,133.5
0.0000,103.9341,346.0657,6.9213,134.0
0.0000,103.3436,346.6563,6.9331,134.5
0.0000,102.7564,347.2434,6.9449,135.0
0.0000,102.1726,347.8273,6.9565,135.5
0.0000,101.5920,348.4078,6.9682,136.0
0.0000,101.0148,348.9850,6.9797,136.5
0.0000,100.4409,349.5590,6.9912,137.0
0.0000,99.8702,350.1297,7.0026,137.5
0.0000,99.3027,350.6971,7.0139,138.0
0.0000,98.7385,351.2613,7.0252,138.5
0.0000,98.1775,351.8223,7.0364,139.0
0.0000,97.6197,352.3802,7.0476,139.5
0.0000,97.0650,352.9348,7.0587,140.0
0.0000,96.5135,353.4863,7.0697,140.5
0.0000,95.9651,354.0347,7.0807,141.0
0.0000,95.4199,354.5800,7.0916,141.5
0.0000,94.8777,355.1221,7.1024,142.0
0.0000,94.3387,355.6612,7.1132,142.5
0.0000,93.8026,356.1972,7.1239,143.0
0.0000,93.2697,356.7302,7.1346,143.5
0.0000,92.7397,357.2601,7.1452,144.0
0.0000,92.2128,357.7870,7.1557,144.5
0.0000,91.6889,358.3109,7.1662,145.0
0.0000,91.1679,358.8319,7.1766,145.5
0.0000,90.6499,359.3499,7.1870,146.0
0.0000,90.1349,359.8650,7.1973,146.5
0.0000,89.6227,360.3771,7.2075,147.0
0.0000,89.1135,360.8863,7.2177,147.5
0.0000,88.6072,361.3926,7.2279,148.0
0.0000,88.1037,361.8961,7.2379,148.5
0.0000,87.6031,362.3966,7.2479,149.0
0.0000,87.1054,362.8944,7.2579,149.5
0.0000,86.6105,363.3893,7.2678,150.0
0.0000,86.1184,363.8814,7.2776,150.5
0.0000,85.6291,364.3707,7.2874,151.0
0.0000,85.1425,364.8572,7.2971,151.5
0.0000,84.6588,365.3410,7.3068,152.0
0.0000,84.1778,365.8220,7.3164,152.5
0.0000,83.6995,366.3003,7.3260,153.0
