S(t),I(t),R(t),mortes(t),tempo
58.1823,10.0464,1.7714,0.0354,30.6
58.1239,10.0934,1.7828,0.0357,30.7
58.0652,10.1406,1.7942,0.0359,30.8
58.0063,10.1880,1.8058,0.0361,30.9
57.9472,10.2355,1.8173,0.0363,31.0
57.8879,10.2832,1.8290,0.0366,31.1
57.8284,10.3310,1.8407,0.0368,31.2
57.7686,10.3790,1.8524,0.0370,31.3
57.7087,10.4272,1.8642,0.0373,31.4
57.6485,10.4755,1.8760,0.0375,31.5
57.5881,10.5240,1.8879,0.0378,31.6
57.5275,10.5726,1.8999,0.0380,31.7
57.4667,10.6214,1.9119,0.0382,31.8
57.4056,10.6704,1.9240,0.0385,31.9
57.3444,10.7195,1.9361,0.0387,32.0
57.2829,10.7688,1.9483,0.0390,32.1
57.2212,10.8183,1.9605,0.0392,32.2
57.1593,10.8679,1.9728,0.0395,32.3
57.0972,10.9176,1.9852,0.0397,32.4
57.0349,10.9676,1.9976,0.0400,32.5
56.9723,11.0177,2.0100,0.0402,32.6
56.9095,11.0679,2.0226,0.0405,32.7
56.8466,11.1183,2.0351,0.0407,32.8
56.7834,11.1689,2.0478,0.0410,32.9
56.7199,11.2196,2.0605,0.0412,33.0
56.6563,11.2705,2.0732,0.0415,33.1
56.5924,11.3216,2.0860,0.0417,33.2
56.5284,11.3728,2.0989,0.0420,33.3
56.4641,11.4241,2.1118,0.0422,33.4
56.3996,11.4756,2.1248,0.0425,33.5
56.3349,11.5273,2.1378,0.0428,33.6
56.2699,11.5792,2.1509,0.0430,33.7
56.2048,11.6312,2.1641,0.0433,33.8
56.1394,11.6833,2.1773,0.0435,33.9
56.0738,11.7356,2.1906,0.0438,34.0
56.0080,11.7881,2.2039,0.0441,34.1
55.9420,11.8407,2.2173,0.0443,34.2
55.8757,11.8935,2.2308,0.0446,34.3
55.8093,11.9465,2.2443,0.0449,34.4
55.7426,11.9996,2.2579,0.0452,34.5
55.6757,12.0528,2.2715,0.0454,34.6
55.6086,12.1062,2.2852,0.0457,34.7
55.5413,12.1598,2.2990,0.0460,34.8
55.4738,12.2135,2.3128,0.0463,34.9
55.4060,12.2674,2.3266,0.0465,35.0
55.3380,12.3214,2.3406,0.0468,35.1
55.2698,12.3756,2.3546,0.0471,35.2
55.2014,12.4299,2.3687,0.0474,35.3
55.1328,12.4844,2.3828,0.0477,35.4
55.0640,12.5391,2.3970,0.0479,35.5
54.9950,12.5939,2.4112,0.0482,35.6
54.9257,12.6488,2.4255,0.0485,35.7
54.8562,12.7039,2.4399,0.0488,35.8
54.7865,12.7592,2.4543,0.0491,35.9
54.7166,12.8146,2.4688,0.0494,36.0
54.6465,12.8701,2.4834,0.0497,36.1
54.5762,12.9258,2.4980,0.0500,36.2
54.5056,12.9817,2.5127,0.0503,36.3
54.4349,13.0377,2.5275,0.0505,36.4
54.3639,13.0938,2.5423,0.0508,36.5
54.2927,13.1501,2.5572,0.0511,36.6
54.2213,13.2066,2.5721,0.0514,36.7
54.1497,13.2632,2.5871,0.0517,36.8
54.0779,13.3199,2.6022,0.0520,36.9
54.0059,13.3768,2.6173,0.0523,37.0
53.9336,13.4339,2.6325,0.0527,37.1
53.8612,13.4911,2.6478,0.0530,37.2
53.7885,13.5484,2.6631,0.0533,37.3
53.7156,13.6059,2.6785,0.0536,37.4
53.6425,13.6635,2.6940,0.0539,37.5
